"id_marker";"date_time";"description";"latitude";"longitude";"statut";"type_marker_id";"user_id"
177;"";"Eglise CMA";5.3557032;-3.8803169;"1";1;0
178;"";"Paroisse Christ Roi des Cités de Kessé";5.3748771;-3.9112804;"1";1;0
179;"";"Église neo-apostolique";5.2415051;-3.9090027;"1";1;0
180;"";"Paroisse Saint Antoine de Padoue de Moossou";5.2217123;-3.7231904;"1";1;0
181;"";"Église CMA Cocody Vallon";5.372626;-3.9855749;"1";1;0
182;"";"Église CMA de Yopougon Camp militaire";5.3278878;-4.0600716;"1";1;0
183;"";"La maison de la manifestation de la gloire de Dieu";5.3131734;-4.1079699;"1";1;0
184;"";"Holy Heart of Jesus";5.389523;-3.9872699;"1";1;0
185;"";"Mission évangélique pour tous";5.3152767;-4.1107168;"1";1;0
186;"";"Église Protestante Baptiste Œuvres et Mission (Adjouffou)";5.2491146;-3.920491;"1";1;0
187;"";"Harriste";5.3549047;-3.8814971;"1";1;0
188;"";"Mission Efrata";5.3809596;-3.9334588;"1";1;0
189;"";"Église Évangélique Presbytérienne";5.3486432;-3.8852204;"1";1;0
190;"";"Bourse du Travail";5.3125367;-4.0092472;"1";1;0
191;"";"Ebna";5.3234054;-4.0599234;"1";1;0
192;"";"Mpirva";5.3115128;-4.1118996;"1";1;0
193;"";"Saint Thomas Apôtre";5.3130452;-4.1124393;"1";1;0
194;"";"Parroise Saint Jean de Songon";5.3246823;-4.2563984;"1";1;0
195;"";"Église Adventiste Prodomo";5.3001073;-3.9489539;"1";1;0
196;"";"Paroisse Coeur Immatriculé de Marie";5.3969467;-4.0075835;"1";1;0
197;"";"Saint Jeanne d’Arc de Treichville";5.3045506;-4.0122866;"1";1;0
198;"";"Église de Jésus-Christ des saints des derniers jours";5.3516026;-4.063886;"1";1;0
199;"";"Église de Patmos Dieudonné";5.3460348;-4.0814075;"1";1;0
200;"";"Mosquée Sikasso";5.3093457;-4.0523625;"1";1;0
201;"";"Ministère Christ en Action";5.3666042;-3.9647899;"1";1;0
202;"";"Église Mission International d'Évangélisation et de Restauration : MIERA";5.3518156;-4.0599874;"1";1;0
203;"";"Mission Evangélique Source de Bénédiction";5.3407709;-4.0586436;"1";1;0
204;"";"Winners'chapel International";5.3405652;-4.0584612;"1";1;0
205;"";"Eglise Evangelique des Assemblées de Dieu";5.3517161;-4.0745974;"1";1;0
206;"";"Eglise Vase d'Honneur GFCI";5.3451346;-4.0627205;"1";1;0
207;"";"Eglise Mission Mondiale Vie en Christ";5.3550462;-4.0778127;"1";1;0
208;"";"salle Du Royaume de Jéhovah";5.3553994;-4.0772601;"1";1;0
209;"";"Église Mission Évangelique La Race Des Vainqueurs";5.3468884;-4.0570765;"1";1;0
210;"";"Eglise prophétique BETHEL";5.3409685;-4.0579784;"1";1;0
211;"";"Oumar Boun Katoib";5.3532877;-4.0587375;"1";1;0
212;"";"Mission Internationale de l'Eglise Primitive";5.354195;-4.0548409;"1";1;0
213;"";"Eglise Evaangelique Bethel: la maison de l'esperance";5.3464338;-4.051014;"1";1;0
214;"";"Eglise la maison charismatique";5.3477757;-4.0528527;"1";1;0
215;"";"Eglise";5.3662752;-4.0016782;"1";1;0
216;"";"Eglise Christianiste Celeste";5.351859;-4.0809475;"1";1;0
217;"";"Espace Islamique";5.3436511;-4.0708751;"1";1;0
218;"";"Eglise Internationale Evangelique Fourquare";5.342914;-4.0712091;"1";1;0
219;"";"Eglise Evangelique Des Assemblées de Dieu";5.3419673;-4.0713573;"1";1;0
220;"";"Eglise inter fosquare";5.3657275;-3.9998608;"1";1;0
221;"";"Eglise CIPE la renaissance";5.3676936;-3.9993963;"1";1;0
222;"";"Paroisse divine misericorde";5.3664258;-4.0072062;"1";1;0
223;"";"Eglise Eden";5.3419433;-4.0695454;"1";1;0
224;"";"Eglise Christ Embassy De Côte d'Ivoire";5.3436394;-4.0696789;"1";1;0
225;"";"Église Evangelique";5.3545321;-4.0536151;"1";1;0
226;"";"Mission Internationale de Jesus Christ";5.3541269;-4.0521198;"1";1;0
227;"";"Église Misssionaire des Petits Troupeaux de Jesus";5.353265;-4.054979;"1";1;0
228;"";"Église Evangelique Ressurection";5.3545041;-4.0551688;"1";1;0
229;"";"Église Évangelique";5.3532369;-4.057171;"1";1;0
230;"";"Mosquée Abou Bark Siddik";5.3495156;-4.0606727;"1";1;0
231;"";"Eglise nouvelle Alliance Wassakara";5.3476896;-4.0690016;"1";1;0
232;"";"Ministère Des Participants du Royaume Du Christ";5.3418745;-4.0693476;"1";1;0
233;"";"Mosquée Abou Haraira";5.3523957;-4.0749272;"1";1;0
234;"";"Eglise MIDES";5.3664542;-4.0068072;"1";1;0
235;"";"Juvenant church";5.365614;-4.006133;"1";1;0
236;"";"Ministère de la foi de jesus";5.3657134;-4.0062299;"1";1;0
